ACQUISITIONDATE,ACRES,ADDRESS,BOROUGH,CLASS,COMMUNITYBOARD,COUNCILDISTRICT,DEPARTMENT,EAPPLY,GISOBJID,GISPROPNUM,GlobalID,JURISDICTION,LOCATION,MAPPED,NAME311,NYS_ASSEMBLY,NYS_SENATE,OBJECTID,OMPPROPID,PARENTID,PERMIT,PERMITDISTRICT,PERMITPARENT,PIP_RATABLE,PRECINCT,RETIRED,SIGNNAME,SUBCATEGORY,TYPECATEGORY,US_CONGRESS,WATERFRONT,ZIPCODE,Location
1998 May 13 12:00:00 AM,0.103,265 COLUMBIA STREET,B,PARK,306,39,B-06,The Amazing Garden,"100,004,317",B409,75BF8B4B-8AA0-424B-8107-91CC4F1D5864,DPR,Carroll St. and Columbia St.,False,The Amazing Garden,52,26,"170,497",B409,B-06,False,B-06,B-06,False,76,False,The Amazing Garden,Greenthumb,Garden,10,False,11231,POINT (-74.00334310562823 40.68313769421752)
1998 May 13 12:00:00 AM,0.073,207 COLUMBIA STREET,B,PARK,306,39,B-06,Human Compass Garden,"100,003,841",B408,EEB8DFF8-9F09-4373-8EED-6ABA1848E890,DPR,Sackett St. and Columbia St.,False,Human Compass Garden,51,26,"170,496",B408,B-06,False,B-06,B-06,False,76,False,Human Compass Garden,Greenthumb,Garden,10,False,11231,POINT (-74.00247544832034 40.68486353117133)
1997 Nov 12 12:00:00 AM,0.591,57 VERMONT STREET,B,PARK,305,37,B-05,George Walker Jr. Park,"100,004,547",B402,20FB35A9-5C62-49A2-B7C7-4A4D1FFE6281,DPR,Wyona St. to Vermont St. between Fulton St. and Jamaica Ave.,False,George Walker Jr. Park,54,18,"170,494",B402,B-05,True,B-05,B-05,True,75,False,George Walker Jr. Park,Neighborhood Plgd,Neighborhood Park,7,False,11207,POINT (-73.89511311483756 40.67861765663744)
1949 Jun 16 12:00:00 AM,2.203,,B,PARK,"305,318",42,B-18,Spring Creek Park,"100,008,349",B165A,3B269D75-506E-4D3F-8BEF-FA601678B111,DPR,"Belt Pkwy., Fresh Creek, Seaview Ave.",True,Spring Creek Park,60,19,"169,539",B165A,B-05,False,B-18,B-05,False,75,False,Spring Creek Park,Fill,Nature Area,8,True,11239,POINT (-73.8787305158402 40.64045217761759)
2003 Mar 04 12:00:00 AM,1.649,40 GRAVESEND NECK ROAD,B,PARK,315,44,B-15,Old Gravesend Cemetery,"100,004,855",B434,7A6F5FCD-9B95-434A-BE53-970166E619E2,DPR,Van Sicklen St. to McDonald Ave. between Village Rd. and Gravesend Neck Rd.,False,Old Gravesend Cemetery,45,22,"170,513",B434,B-15,False,B-15,B-15,False,61,False,Old Gravesend Cemetery,Cemetery,Cemetery,8,False,11223,POINT (-73.97437147354418 40.59466339163323)
2002 Jun 27 12:00:00 AM,0.734,1940 EAST 36 STREET,B,PARK,318,46,B-18,Hendrick I Lott House,"100,003,764",B433,497F91D9-E89B-462A-8A31-6CFF91536038,DPR,E. 35 St. to E. 36 St. between Fillmore Ave. and Ave. S,False,Hendrick I. Lott House,59,22,"170,512",B433,B-18,False,B-18,B-18,False,63,False,Hendrick I. Lott House,Building,Historic House Park,8,False,11234,POINT (-73.93264504620399 40.61032945810362)
2000 Dec 08 12:00:00 AM,0.161,773 WILLOUGHBY AVENUE,B,PARK,303,36,B-03,Lewis Playground,"100,004,324",B430,B7050A02-1589-4837-AAEC-06DDB3BC35DD,DPR,Willoughby Ave. between Lewis Ave. and Marcus Garvey Blvd.,False,Lewis Playground,56,25,"170,511",B430,B-03,True,B-03,B-03,True,81,False,Lewis Playground,Neighborhood Plgd,Playground,8,False,11206,POINT (-73.9378827166046 40.6954072192104)
2000 Jul 14 12:00:00 AM,1.363,506 KNICKERBOCKER AVENUE,B,PARK,304,37,B-04,Hope Ballfields,"100,004,257",B429,309D2E0B-92B9-4CCF-9BC6-309BD574E2B5,DPR,Knickerbocker Ave. between Grove St. and Menahan St.,False,Hope Ballfield,53,18,"170,510",B429,B-04,True,B-04,B-04,True,83,False,Hope Ballfield,Neighborhood Park,Neighborhood Park,7,False,11237,POINT (-73.91711074878482 40.69750927449065)
1999 Sep 08 12:00:00 AM,0.348,46-62 GOODWIN PLACE,B,PARK,304,37,B-04,Goodwin Gardens,"100,003,758",B428,6019CC96-E820-48A1-96B7-D20FA69B2CB9,DPR,Goodwin Pl. and Grove St.,False,Goodwin Gardens,53,18,"170,509",B428,B-04,False,B-04,B-04,False,83,False,Goodwin Gardens,Greenthumb,Garden,7,False,11221,POINT (-73.92349785825141 40.69113808849286)
1999 Jul 12 12:00:00 AM,0.115,99 MC KIBBIN STREET,B,PARK,301,34,B-01,Sunshine Community Garden,"100,004,834",B427,E5682F73-AA44-4529-8C80-7551EEC22495,DPR,McKibbin St. between Manhattan Ave. and Graham Ave.,False,Sunshine Community Garden,53,18,"170,508",B427,B-01,False,B-01,B-01,False,90,False,Sunshine Community Garden,Greenthumb,Garden,7,False,11206,POINT (-73.94401594376627 40.70531962974002)
1999 Jul 12 12:00:00 AM,0.23,203-207 SOUTH 2 STREET,B,PARK,301,34,B-01,Earth Spirit Garden,"100,004,806",B424,DF86D303-8129-46A1-A531-504EB3A91310,DPR,S. 2 St. between Driggs Ave. and Roebling St.,False,Earth Spirit Garden,53,59,"170,507",B424,B-01,False,B-01,B-01,False,90,False,Earth Spirit Garden,Greenthumb,Garden,7,False,11211,POINT (-73.95942933611782 40.71253414094172)
1999 Jul 12 12:00:00 AM,0.172,108 WALTON STREET,B,PARK,301,33,B-01,Project Roots,"100,004,613",B423,4E8EEE8D-01D9-4D04-BE24-A9F92D303AAB,DPR,Walton St. between Harrison Ave. and Throop Ave.,False,Project Roots,53,18,"170,506",B423,B-01,False,B-01,B-01,False,90,False,Project Roots,Greenthumb,Garden,7,False,11206,POINT (-73.94802129123543 40.70273415792146)
1999 Jul 12 12:00:00 AM,0.14,401 CARLTON AVENUE,B,PARK,302,35,B-02,Brooklyn Bears Carlton Av Garden,"100,004,982",B421,D3305B1F-491E-4A30-B7D5-A1CA5453BDD2,DPR,Carlton Ave. between Greene Ave. and Fulton St.,False,Brooklyn Bears Carlton Ave Garden,57,25,"170,505",B421,B-02,False,B-02,B-02,False,88,False,Brooklyn Bears Carlton Av Garden,Greenthumb,Garden,7,False,11238,POINT (-73.97105289957906 40.68570377618616)
1999 Jul 12 12:00:00 AM,0.206,1464 BROADWAY,B,PARK,303,41,B-03,Umoja Garden,"100,004,544",B420,D4797FE1-7635-45DB-87E5-28CB86A621E0,DPR,Broadway and Putnam Ave.,False,Umoja Garden,55,25,"170,504",B420,B-03,False,B-03,B-03,False,81,False,Umoja Garden,Greenthumb,Garden,8,False,11221,POINT (-73.91941642550837 40.68777208600951)
1957 Jun 27 12:00:00 AM,3.014,110 CONTINENTAL PLACE,R,PARK,501,49,R-01,Grandview Playground (The Big Park),"100,004,652",R068,C28504C4-5AFA-4051-B1B9-C153D44EBFAA,DPR/NYCHA,"Grandview Ave., at Continental Pl.",True,The Big Park,63,23,"169,511",R068,R-01,True,R-01,R-01,True,120,False,The Big Park,Neighborhood Plgd,Neighborhood Park,11,False,10303,POINT (-74.16447095156887 40.63065404348192)
1950 Jul 20 12:00:00 AM,1.51,660 W 235 STREET,X,PARK,208,11,X-08,Spuyten Duyvil Playground,"100,003,939",X171,AD3811E2-2676-4372-9F49-58FB9A4E0DAB,DPR/DOE,Douglas Av bet. W 235 St and W 236 St,False,Spuyten Duyvil Playground,81,33,"170,521",X171,X-08,True,X-08,X-08,True,50,False,Spuyten Duyvil Playground,JOP,Jointly Operated Playground,15,False,10463,POINT (-73.91602703710429 40.88704781445527)
1965 Mar 03 12:00:00 AM,1.1,140 LORIMER STREET,B,PARK,301,33,B-01,De Hostos Playground (IS 318),"100,003,861",B358,A8D286AB-A2F3-459F-93DE-0839AC6716B3,DPR/DOE,Harrison Ave. between Walton St. and Lorimer St.,True,De Hostos Playground,53,18,"170,475",B358,B-01,True,B-01,B-01,True,90,False,De Hostos Playground,JOP,Jointly Operated Playground,7,False,11206,POINT (-73.94931901078664 40.70268144473992)
1990 Apr 20 12:00:00 AM,0.155,473 PACIFIC STREET,B,PARK,302,33,B-02,North Pacific Playground,"100,004,434",B356,FEAA606B-57AC-4C8F-8A87-807500297BDE,DPR,Pacific St. between Nevins St. and 3 Ave.,False,North Pacific Playground,52,26,"170,474",B356,B-02,True,B-02,B-02,True,84,False,North Pacific Playground,Neighborhood Plgd,Playground,10,False,11217,POINT (-73.98213651389558 40.685284399212456)
1963 Jul 08 12:00:00 AM,0.927,7101 AVENUE T,B,PARK,318,46,B-18,Bergen Beach Playground (PS 312),"100,004,646",B353,E947BAA7-B91A-43E7-A586-2DB58CC4478E,DPR/DOE,E. 71 St. between Ave. N and Ave. T,False,Bergen Beach Playground,59,21,"170,473",B353,B-18,True,B-18,B-18,True,63,False,Bergen Beach Playground,JOP,Jointly Operated Playground,8,False,11234,POINT (-73.90953549868756 40.62242694860651)
1997 Apr 22 12:00:00 AM,2.741,55 EVERGREEN AVENUE,B,PARK,304,34,B-04,Green Central Knoll,"100,004,723",B395,7DFF194C-90EA-47E5-A8D8-F530CE623EBC,DPR,"Flushing Ave., Central Ave., Noll St., Evergreen Ave.",False,Green Central Knoll,53,18,"170,490",B395,B-04,True,B-04,B-04,True,83,False,Green Central Knoll,Neighborhood Plgd,Neighborhood Park,7,False,11206,POINT (-73.93287314422528 40.70191981859554)
1993 May 17 12:00:00 AM,0.125,1302 CORTELYOU ROAD,B,PARK,314,40,B-14,Lt. Federico Narvaez Tot Lot,"100,003,848",B391,C3961298-FFA1-4FD9-929F-C2EE81EC14CD,DPR,Argyle Rd. and Cortelyou Rd.,False,Lt. Federico Narvaez Tot Lot,44,21,"170,489",B391,B-14,True,B-14,B-14,True,70,False,Lt. Federico Narvaez Tot Lot,Neighborhood Plgd,Playground,9,False,11226,POINT (-73.96592923759 40.64026292648284)
1993 Aug 27 12:00:00 AM,0.467,45 PRESIDENT STREET,B,PARK,306,39,B-06,Mother Cabrini Park,"100,004,879",B390,25A64A04-3490-4F54-982C-DE876734FFEC,DPR,President St. and Van Brunt St.,False,Mother Cabrini Park,51,26,"170,488",B390,B-06,True,B-06,B-06,True,76,False,Mother Cabrini Park,Neighborhood Plgd,Playground,10,False,11231,POINT (-74.00491899180139 40.68436633314878)
2017 Nov 12 12:00:00 AM,0.287,142 Grand Street,M,PARK,102,1,M-02,,"100,044,778",M413,3E553BE0-F295-4ED9-A8AD-7C7E9B7A65B7,DEP,Grand St. bet. Crosby St. and Lafayette St.,,Rapkin-Gayle Plaza,65,27,"169,487",M413,M-02,,M-02,M-02,False,5,False,Rapkin-Gayle Plaza,,Neighborhood Park,10,False,10012,POINT (-73.9991414518905 40.72039268063648)
1993 May 17 12:00:00 AM,0.111,108 WOODRUFF AVENUE,B,PARK,314,40,B-14,Umma Park,"100,004,310",B389,1D4311F9-BF3F-4377-A789-5399CCD51A61,DPR,Woodruff Ave. and Ocean Ave.,False,Umma Park,42,21,"170,487",B389,B-14,True,B-14,B-14,True,70,False,Umma Park,Neighborhood Plgd,Playground,9,False,11226,POINT (-73.96187879686894 40.6537069545217)
1925 Jul 18 12:00:00 AM,1.8,521 FT WASHINGTON Av,M,PARK,112,10,M-12,Bennett Park,"100,003,824",M009,5996308D-3759-4DB1-9C7C-13C5B64C457C,DPR,"Ft Washington Av, W 183 St, Pinehurst Av",True,Bennett Park,71,31,"170,923",M009,M-12,True,M-12,M-12,True,34,False,Bennett Park,Neighborhood Plgd,Neighborhood Park,13,False,10033,POINT (-73.93811023546237 40.85286019831468)
1992 Oct 21 12:00:00 AM,0.07,879 FULTON STREET,B,PARK,302,35,B-02,Gateway Triangle,"100,003,712",B388,BBE19FB1-4815-40BC-B3EF-271DA0F8313C,DPR,"Vanderbilt Ave., Gates Ave. and Fulton St.",False,Gateway Triangle,57,25,"170,486",B388,B-02,False,B-02,B-02,True,88,False,Gateway Triangle,Sitting Area/Triangle/Mall,Triangle/Plaza,7,False,11238,POINT (-73.96829024508114 40.68401881486936)
1991 Jul 09 12:00:00 AM,0.46,34 TEN EYCK STREET,B,PARK,301,34,B-01,Ten Eyck Plaza,"100,003,862",B386,7C64E2FF-A6C3-4575-B561-75DE4FFDF5E5,DPR,Ten Eyck St. to Stagg St. between Lorimer St. and Union Ave.,False,Ten Eyck Plaza,53,18,"170,485",B386,B-01,True,B-01,B-01,True,90,False,Ten Eyck Plaza,Neighborhood Plgd,Playground,7,False,11206,POINT (-73.9493384024224 40.70929978584198)
1986 May 09 12:00:00 AM,1.82,16 FURMAN AVENUE,B,PARK,304,37,B-04,Thomas Boyland Park,"100,003,853",B381,22B11753-DBAD-4242-BEA1-32DD5CFBD27A,DPR,Broadway between Granite St. and Aberdeen St.,False,Thomas Boyland Park,54,18,"170,484",B381,B-04,True,B-04,B-04,True,83,False,Thomas Boyland Park,Neighborhood Plgd,Neighborhood Park,7,False,11207,POINT (-73.90787410634937 40.681875842924526)
1985 Jun 21 12:00:00 AM,2.939,1411 SUTTER AVENUE,B,PARK,305,42,B-05,Robert Venable Park,"100,004,081",B380,0D355306-C435-4335-8F13-CE5EFAE5BF80,DPR,"Belmont Ave., Sutter Ave., Sheridan Ave. and Grant Ave.",True,Robert E. Venable Park,60,19,"170,483",B380,B-05,True,B-05,B-05,True,75,False,Robert E. Venable Park,Neighborhood Plgd,Neighborhood Park,7,False,11208,POINT (-73.86517938502973 40.674428989147216)
1981 Apr 05 12:00:00 AM,1.161,343 FLATBUSH AVENUE EXT,B,PARK,302,35,B-02,University Place,"100,004,943",B378,A296B7D5-B540-4B79-92D2-1CBFF8138E50,DPR,Flatbush Ave. at Fleet St.,True,University Place,57,26,"170,482",B378,B-02,True,B-02,B-02,True,88,False,University Place,Sitting Area/Triangle/Mall,Triangle/Plaza,7,False,11201,POINT (-73.98151974462841 40.69075749219497)
1973 Jan 17 12:00:00 AM,6.7,1310 EAST 4 STREET,B,PARK,312,44,B-12,Friends Field,"100,004,162",B372,852326C3-57B2-4E7F-82DB-C1B6A74ACF6D,DPR,"Ave. L, E. 4 St., Mcdonald Ave., Ave. M",True,Friends Field,48,22,"170,481",B372,B-12,True,B-12,B-12,True,66,False,Friends Field,Large Park,Community Park,9,False,11230,POINT (-73.97327828278549 40.618713281929885)
1965 May 13 12:00:00 AM,1.438,1616 BERGEN STREET,B,PARK,308,36,B-08,Woods Playground (PS 345),"100,004,939",B364,C67E6F21-A59A-4F9B-88F8-CE17DF67FE57,DPR/DOE,"Bergen St., Utica Ave., Rochester Ave., St Mark's Ave.",False,Woods Playground,55,20,"170,480",B364,B-08,True,B-08,B-08,True,77,False,Woods Playground,JOP,Jointly Operated Playground,9,False,11213,POINT (-73.92892418306286 40.67444602953346)
1966 Mar 04 12:00:00 AM,0.918,145 GLENMORE AVENUE,B,PARK,316,37,B-16,Houston Playground (PS 332),"100,004,840",B363,6813AD7D-2631-4309-9A3A-0ABC44A20976,DPR/DOE,Glenmore Ave. between Powell St. and Sackman St.,False,Houston Playground,55,25,"170,479",B363,B-16,True,B-16,B-16,True,73,False,Houston Playground,JOP,Jointly Operated Playground,8,False,11212,POINT (-73.90507072917117 40.67220456705594)
1964 Jan 20 12:00:00 AM,1,104 CHESTER STREET,B,PARK,316,41,B-16,Chester Playground (PS 327),"100,003,906",B362,BFE4398D-DCB3-43B1-A007-2FDB15B1524F,DPR/DOE,Chester St. to Bristol St. between Sutter Ave. and Pitkin Ave.,False,Chester Playground,55,25,"170,478",B362,B-16,True,B-16,B-16,True,73,False,Chester Playground,JOP,Jointly Operated Playground,8,False,11212,POINT (-73.9117459248682 40.668652698881885)
1956 Jul 05 12:00:00 AM,1.333,1100 GLENWOOD ROAD,B,PARK,318,46,B-18,Remsen Playground (PS 114),"100,004,647",B360,74061092-7F25-4B9B-9037-BE5D1C33D2D3,DPR/DOE,Remsen Ave. and Glenwood Rd.,False,Remsen Playground,58,19,"170,477",B360,B-18,True,B-18,B-18,True,69,False,Remsen Playground,JOP,Jointly Operated Playground,8,False,11236,POINT (-73.90736862012692 40.6422984417718)
1964 Jun 17 12:00:00 AM,1.211,982 DE KALB AVENUE,B,PARK,303,36,B-03,Eleanor Roosevelt Playground (PS 81),"100,004,916",B359,1A4F3178-09AB-4F55-A9B3-BA277248DE35,DPR/DOE,Kosciuszko St. to Dekalb Ave. between Lewis Ave. and Stuyvesant Ave.,False,Eleanor Roosevelt Playground,56,25,"170,476",B359,B-03,True,B-03,B-03,True,81,False,Eleanor Roosevelt Playground,JOP,Jointly Operated Playground,8,False,11221,POINT (-73.93547776944561 40.69283116438416)
1955 Jan 27 12:00:00 AM,0.326,293 EAST 205 STREET,X,PARK,207,11,X-07,Whalen Playground,"100,003,878",X180,57AC823E-57BD-45AB-9DC8-2B5315AC203E,DPR,Perry Ave. bet. E. 205 St. and E. 208 St,True,Whalen Playground,80,33,"170,453",X180,X-07,True,X-07,X-07,True,52,False,Whalen Playground,Sitting Area/Triangle/Mall,Triangle/Plaza,15,False,10467,POINT (-73.87777026485324 40.87434321614644)
1959 Mar 12 12:00:00 AM,0.917,319 CARLTON AVENUE,B,PARK,302,35,B-02,Edmonds Playground (IS 113),"100,004,707",B321,C6242784-A322-4F2C-890F-DAA83A822855,DPR/DOE,Dekalb Ave. between Adelphi St. and Carlton Ave.,False,Edmonds Playground,57,25,"170,452",B321,B-02,True,B-02,B-02,True,88,False,Edmonds Playground,JOP,Jointly Operated Playground,7,False,11205,POINT (-73.97157610872655 40.68925586534012)
1958 Dec 28 12:00:00 AM,0.955,40 LINCOLN PLACE,B,PARK,306,39,B-06,Park Slope Playground (PS 282),"100,004,316",B320,3826F44E-8110-4BC4-8C8F-02C8A7EB66A4,DPR/DOE,Berkeley Pl. and Lincoln Pl. between 5 Ave. and 6 Ave.,False,Park Slope Playground,52,26,"170,451",B320,B-06,True,B-06,B-06,True,78,False,Park Slope Playground,JOP,Jointly Operated Playground,10,False,11217,POINT (-73.9786665068886 40.6768142617379)
1967 Aug 14 12:00:00 AM,1.003,8102 FOSTER AVENUE,B,PARK,318,42,B-18,Curtis Playground,"100,004,064",B352,23E7FC39-8C88-4151-B366-6613A5384E5C,DPR,Foster Ave. between E. 81 St. and E. 82 St.,True,Curtis Playground,59,19,"170,472",B352,B-18,True,B-18,B-18,True,69,False,Curtis Playground,Neighborhood Plgd,Playground,8,False,11236,POINT (-73.91742499423611 40.64096971614954)
2002 Feb 20 12:00:00 AM,0.058,48 LEFFERTS PLACE,B,PARK,302,35,B-02,,"100,024,481",B582,D39AF3C7-62E2-437E-ADB2-8736DB735FB2,DPR,Lefferts Pl. bet. Grand Ave. and St. James Pl.,False,Garden,57,25,"169,429",B582,B-02,,B-02,,,88,False,Brooklyn's Finest Garden,,Garden,7,False,11238,POINT (-73.96191497309209 40.68125492845276)
1968 Jan 15 12:00:00 AM,2.391,658 DE KALB AVENUE,B,PARK,303,36,B-03,Kosciuszko Pool,"100,005,203",B351,1683A5F4-D7CA-42ED-A0BB-5D819D0712DF,DPR,Marcy Ave. between Kosciuszko St. and Dekalb Ave.,True,Kosciuszko Pool,56,25,"170,471",B351,B-03,False,B-03,B-03,False,79,False,Kosciuszko Pool,Building,Buildings/Institutions,8,False,11216,POINT (-73.94933995184181 40.691275984409934)
2016 Feb 09 12:00:00 AM,0.104,142 PATCHEN AVE,B,PARK,303,36,B-03,,"100,037,056",B573,BA9932CC-6339-4F86-BA61-B0263CB15E4B,DPR,Patchen Ave. bet. Putnam Ave. and Jefferson Ave.,False,Patchen Community Square Garden,56,25,"169,417",B573,B-03,,B-03,,,81,False,Patchen Community Square Garden,,Garden,8,False,11221,POINT (-73.92707534992323 40.68652017191811)
1947 Jul 29 12:00:00 AM,0.09,,B,PARK,302,33,B-02,,"100,003,927",B223JA,7E0C4CBA-BCC4-4962-98CA-FCFB313D119B,DPR,Jay St. bet. York St. and Prospect St.,True,Park,52,26,"169,389",B223JA,B-02,False,B-02,B-02,False,84,False,Park,Type 1,Triangle/Plaza,10,False,11201,POINT (-73.9868925357672 40.70115176175952)
1931 Oct 13 12:00:00 AM,91.086,,R,PARK,503,51,R-03,Long Pond Park,"100,004,536",R027,8E37FC89-D23D-4278-A10D-B42C71CDD37B,DPR,"Page Ave., Hylan Blvd., and Amboy Rd.",True,Long Pond Park,62,24,"169,362",R027,R-03,False,R-03,R-03,False,123,False,Long Pond Park,Large Park,Nature Area,11,False,10309,POINT (-74.22712917485424 40.50950660685339)
1964 Jan 15 12:00:00 AM,1.194,500 PARK PLACE,B,PARK,308,35,B-08,Elijah Stroud Playground (PS 316),"100,003,697",B350,E013198D-CDE9-4140-98CF-2BBF6496EE9E,DPR/DOE,Sterling Pl. to Park Pl. between Classon Ave. and Washington Ave.,False,Stroud Playground,44,20,"170,470",B350,B-08,True,B-08,B-08,True,77,False,Stroud Playground,JOP,Jointly Operated Playground,10,False,11238,POINT (-73.96169847669981 40.6748199933477)
1997 Jul 15 12:00:00 AM,0.203,636 UNION STREET,B,PARK,306,39,B-06,Gardens Of Union,"100,004,007",B399,821921C0-77BA-43F7-80FA-069A9F49D91D,DPR,Union St. between 4 Ave. and 5 Ave.,False,Gardens Of Union,52,26,"170,493",B399,B-06,False,B-06,B-06,False,78,False,Gardens Of Union,Greenthumb,Garden,10,False,11215,POINT (-73.98250165050493 40.6769388747627)
1997 Jan 16 12:00:00 AM,0.918,184 CHRISTOPHER AVENUE,B,PARK,316,41,B-16,Carter G. Woodson Children's Park,"100,004,159",B397,F467BA62-DC44-4796-8853-5209FC9D2DF1,DPR,Christopher Ave. between Sutter Ave. and Belmont Ave.,True,Carter G. Woodson Children's Park,55,25,"170,492",B397,B-16,True,B-16,B-16,True,73,False,Carter G. Woodson Children's Park,Neighborhood Plgd,Community Park,8,False,11212,POINT (-73.9058344107969 40.66846452628151)
1997 Jan 16 12:00:00 AM,1.648,405 WATKINS STREET,B,PARK,316,41,B-16,Nehemiah Park (PS 284),"100,004,571",B396,60713BEF-77AC-452B-A7C1-E46F4F9C4F30,DPR,"Watkins St., Mother Gaston Blvd., Livonia Ave., Riverdale Ave.",True,Nehemiah Park,55,19,"170,491",B396,B-16,True,B-16,B-16,True,73,False,Nehemiah Park,Neighborhood Plgd,Playground,8,False,11212,POINT (-73.90561994620053 40.66208532893263)
1963 Jul 15 12:00:00 AM,0.907,545 VERNON AVENUE,B,PARK,303,36,B-03,Willoughby Playground (PS 23),"100,004,256",B348,6C4818BE-2A8A-4AA5-AFA1-42BF3D25071E,DPR/DOE,"Tompkins Ave., Willoughby Ave., Vernon Ave.",False,Willoughby Playground,56,25,"170,469",B348,B-03,True,B-03,B-03,True,79,False,Willoughby Playground,JOP,Jointly Operated Playground,8,False,11206,POINT (-73.94672432783938 40.69441374620636)
1963 Mar 28 12:00:00 AM,0.964,281 RALPH AVENUE,B,PARK,303,41,B-03,Carver Playground (PS 40),"100,004,266",B347,AF05E340-891B-4207-86A8-3B319355E213,DPR/DOE,Sumpter St. to Marion St. between Howard Ave. and Ralph Ave.,False,Carver Playground,55,25,"170,468",B347,B-03,True,B-03,B-03,True,81,False,Carver Playground,JOP,Jointly Operated Playground,8,False,11233,POINT (-73.9205122292037 40.68021074069114)
1963 Mar 28 12:00:00 AM,1.06,438 LEONARD STREET,B,PARK,301,33,B-01,Ericsson Playground (JHS 126),"100,004,426",B346,E49111DC-ED4B-4C73-BB3C-E66EF48D1991,DPR/DOE,Manhattan Ave. and Leonard St.,False,Ericsson Playground,50,59,"170,467",B346,B-01,True,B-01,B-01,True,94,False,Ericsson Playground,JOP,Jointly Operated Playground,7,False,11222,POINT (-73.94848370586142 40.7206647521844)
2002 Nov 20 12:00:00 AM,0.539,933-943 Glenmore Ave and 143-147 Fountain Ave,B,PARK,305,37,B-05,Green Gems,"100,004,984",B471,12D52E46-AC47-4819-B7FB-E2FD1F08A3EF,DPR,Glenmore Ave. and Fountain Ave.,False,Green Gems,54,19,"170,466",B471,B-05,False,B-05,B-05,False,75,False,Green Gems,Greenthumb,Garden,7,False,11208,POINT (-73.87523209294582 40.6765186829689)
1934 Jul 18 12:00:00 AM,1.722,109-02 46 AVENUE,Q,PARK,404,21,Q-04,Corona Golf Playground,"100,000,291",Q450,852D28E3-38A9-4886-A478-F2B22E0E29ED,DPR,"109 St., 111 St. bet. 46 Ave. and 47 Ave.",True,Corona Golf Playground,39,13,"170,465",Q450,Q-04,True,Q-04,Q-04,True,110,False,Corona Golf Playground,Neighborhood Plgd,Neighborhood Park,14,False,11368,POINT (-73.85462384214816 40.74760700535126)
1962 Nov 21 12:00:00 AM,0.8,970 WORTMAN AVENUE,B,PARK,305,42,B-05,Ethan Allen Playground (PS 306),"100,004,079",B345,015B5FB1-C162-4E73-B176-83A09D96E872,DPR/DOE,Wortman Ave. between Vermont St. and New Jersey Ave.,False,Ethan Allen Playground,60,19,"170,464",B345,B-05,True,B-05,B-05,True,75,False,Ethan Allen Playground,JOP,Jointly Operated Playground,8,False,11207,POINT (-73.88696769908185 40.65563030381312)
1961 Oct 26 12:00:00 AM,1.616,10002 GLENWOOD ROAD,B,PARK,318,46,B-18,100% Playground,"100,004,385",B342,CFD1A97E-A3AE-4B5F-B5DF-85FC78603A50,DPR/DOE,Glenwood Rd. between E. 100 St. and E. 101 St.,False,100% Playground,58,19,"170,463",B342,B-18,True,B-18,B-18,True,69,False,100% Playground,JOP,Jointly Operated Playground,8,False,11236,POINT (-73.89912541849273 40.64643199051476)
2002 Nov 20 12:00:00 AM,0.058,1711 PARK PLACE,B,PARK,316,41,B-16,Preston Comm Garden,"100,004,641",B487,FCA20FFF-2BEE-4988-89DE-2057695B3457,DPR,Park Pl. between Howard Ave. and Ralph Ave.,False,Preston Community Garden,55,25,"169,323",B487,B-16,False,B-16,B-16,False,73,False,Preston Community Garden,Greenthumb,Garden,9,False,11233,POINT (-73.92068000894287 40.67207969708562)
1962 Nov 21 12:00:00 AM,0.915,40 BEAVER STREET,B,PARK,304,34,B-04,Garden Playground (PS 120),"100,003,757",B340,1FFF363D-EB81-44C4-94E0-794F7B30876D,DPR/DOE,Flushing Ave. between Beaver St. and Garden St.,False,Garden Playground,53,18,"170,462",B340,B-04,True,B-04,B-04,True,83,False,Garden Playground,JOP,Jointly Operated Playground,7,False,11206,POINT (-73.93816360173528 40.701094137267646)
1961 Jun 09 12:00:00 AM,1.061,125 CENTRAL AVENUE,B,PARK,304,34,B-04,Fermi Playground (IS 111),"100,004,811",B334,34E019C6-1512-46FE-B48A-7C5365748043,DPR/DOE,"Central Ave., Troutman St. and Starr St.",False,Fermi Playground,53,18,"170,460",B334,B-04,True,B-04,B-04,True,83,False,Fermi Playground,JOP,Jointly Operated Playground,7,False,11221,POINT (-73.92842365934708 40.70059904709811)
2009 Mar 06 12:00:00 AM,0.206,,R,PARK,501,49,R-01,Targee Street Triangle,"100,003,751",R164,A74FCB0C-1ABA-427B-81A6-599E5FF6988E,DPR,"De Kalb St., Targee St., Narrows Rd. N.",False,Targee Street Triangle,63,23,"169,315",R164,R-01,False,R-01,R-01,False,120,False,Targee Street Triangle,,Triangle/Plaza,11,False,10304,POINT (-74.08763029657905 40.608553384707534)
1961 Sep 22 12:00:00 AM,0.87,84 SCHAEFER STREET,B,PARK,304,37,B-04,Evergreen Playground (PS 45),"100,004,448",B332,66C65277-38B6-4AAC-9C66-0BCB2CBFD59A,DPR/DOE,Decatur St. to Schaefer St. between Bushwick Ave. and Evergreen Ave.,False,Evergreen Playground,54,18,"170,459",B332,B-04,True,B-04,B-04,True,83,False,Evergreen Playground,JOP,Jointly Operated Playground,7,False,11207,POINT (-73.91076205381603 40.68608968230292)
